Model,Accuracy,Precision,Recall,F1-Score,Specificity,MCC,AUC-ROC,Model Size (KB),Training Time (s)
CNN_LSTM,0.9891172914147521,0.47058823529411764,1.0,0.64,0.9890109889989132,0.6822147286633229,0.9972527472527473,970.56,56.92
Attention_BiLSTM,0.9903264812575574,0.0,0.0,0.0,0.99999999998779,0.0,0.7855616605616605,2444.49,56.26
Multimodal,0.9963724304715841,0.7272727272727273,1.0,0.8421052631578947,0.0,0.8512395224663412,0.9993894993894994,0.0,0.0
Edge_Model,0.4957678355501814,0.014251781472684086,0.75,0.027972027972027972,0.4932844932784703,0.04763183446243394,0.6521672771672772,62.97,18.78
